Date,Value
2016-11-30,125.9
2016-10-31,126.5
2016-09-30,125.0
2016-08-31,166.0
2016-07-31,135.6
2016-06-30,133.8
2016-05-31,133.4
2016-04-30,123.8
2016-03-31,128.5
2016-02-29,127.0
2016-01-31,152.0
2015-12-31,139.4
2015-11-30,132.7
2015-10-31,134.1
2015-09-30,133.5
2015-08-31,173.4
2015-07-31,143.8
2015-06-30,143.2
2015-05-31,142.0
2015-04-30,130.1
2015-03-31,137.7
2015-02-28,137.9
2015-01-31,167.2
2014-12-31,163.2
2014-11-30,152.3
2014-10-31,151.1
2014-09-30,156.3
2014-08-31,204.5
2014-07-31,171.5
2014-06-30,168.3
2014-05-31,166.0
2014-04-30,152.6
2014-03-31,149.3
2014-02-28,143.4
2014-01-31,182.3
2013-12-31,162.9
2013-11-30,148.7
2013-10-31,149.4
2013-09-30,155.2
2013-08-31,202.5
2013-07-31,166.1
2013-06-30,167.4
2013-05-31,166.5
2013-04-30,153.7
2013-03-31,160.4
2013-02-28,162.6
2013-01-31,198.2
2012-12-31,180.1
2012-11-30,165.7
2012-10-31,172.7
2012-09-30,174.2
2012-08-31,229.6
2012-07-31,184.6
2012-06-30,178.9
2012-05-31,179.3
2012-04-30,168.1
2012-03-31,166.9
2012-02-29,162.0
2012-01-31,190.0
2011-12-31,178.9
2011-11-30,174.2
2011-10-31,171.5
2011-09-30,180.9
2011-08-31,218.2
2011-07-31,176.8
2011-06-30,163.1
2011-05-31,176.1
2011-04-30,156.0
2011-03-31,163.2
2011-02-28,147.3
2011-01-31,176.1
2010-12-31,157.6
2010-11-30,159.3
2010-10-31,153.3
2010-09-30,163.2
2010-08-31,195.8
2010-07-31,163.8
2010-06-30,155.3
2010-05-31,151.5
2010-04-30,142.8
2010-03-31,142.9
2010-02-28,134.3
2010-01-31,134.9
2009-12-31,127.3
2009-11-30,114.8
2009-10-31,114.3
2009-09-30,122.2
2009-08-31,137.9
2009-07-31,112.4
2009-06-30,109.2
2009-05-31,121.4
2009-04-30,117.6
2009-03-31,128.3
2009-02-28,128.0
2009-01-31,148.6
2008-12-31,145.1
2008-11-30,136.3
2008-10-31,131.2
2008-09-30,146.1
2008-08-31,171.7
2008-07-31,143.4
2008-06-30,136.5
2008-05-31,133.6
2008-04-30,129.6
2008-03-31,133.2
2008-02-29,129.4
2008-01-31,141.0
2007-12-31,126.4
2007-11-30,118.9
2007-10-31,121.9
2007-09-30,126.7
2007-08-31,132.3
2007-07-31,119.8
2007-06-30,116.7
2007-05-31,121.9
2007-04-30,109.6
2007-03-31,109.7
2007-02-28,110.5
2007-01-31,114.3
2006-12-31,108.3
2006-11-30,108.2
2006-10-31,109.3
2006-09-30,114.4
2006-08-31,134.9
2006-07-31,116.2
2006-06-30,113.1
2006-05-31,117.3
2006-04-30,105.7
2006-03-31,111.1
