Date,Total Number,Total Avg amount,Male Number,Male Avg Amount,Female Number,Female Avg Amount
2016-11-30,133519.0,945.89,10602.0,813.65,122917.0,957.29
2016-10-31,133508.0,945.72,10544.0,811.87,122964.0,957.2
2016-09-30,131762.0,944.79,10338.0,809.26,121424.0,956.33
2016-08-31,134820.0,943.83,10727.0,809.29,124093.0,955.47
2016-07-31,133770.0,942.62,10646.0,805.32,123124.0,954.49
2016-06-30,134874.0,936.24,10755.0,799.39,124119.0,948.1
2016-05-31,133778.0,931.39,10648.0,795.65,123130.0,943.13
2016-04-30,132558.0,930.23,10481.0,795.33,122077.0,941.82
2016-03-31,131090.0,929.41,10334.0,793.15,120756.0,941.07
2016-02-29,129984.0,928.71,10243.0,791.12,119741.0,940.48
2016-01-31,128810.0,927.71,10158.0,789.78,118652.0,939.52
2015-12-31,139719.0,939.94,11267.0,810.23,128452.0,951.32
2015-11-30,140252.0,941.23,11250.0,808.72,129002.0,952.78
2015-10-31,140194.0,939.04,11278.0,805.34,128916.0,950.74
2015-09-30,140291.0,940.87,11252.0,806.09,129039.0,952.62
2015-08-31,139682.0,940.69,11118.0,803.88,128564.0,952.52
2015-07-31,137865.0,939.97,10878.0,800.24,126987.0,951.94
2015-06-30,139186.0,934.09,11091.0,796.17,128095.0,946.03
2015-05-31,137814.0,928.93,10976.0,791.89,126838.0,940.79
2015-04-30,138162.0,927.9,11034.0,791.73,127128.0,939.72
2015-03-31,136436.0,926.99,10880.0,789.45,125556.0,938.91
2015-02-28,134996.0,926.68,10726.0,789.4,124270.0,938.53
2015-01-31,133399.0,925.95,10601.0,788.89,122798.0,937.78
2014-12-31,142509.0,934.9,11547.0,802.54,130962.0,946.57
2014-11-30,146281.0,924.39,11804.0,793.86,134477.0,935.85
2014-10-31,144941.0,922.39,11614.0,792.27,133327.0,933.72
2014-09-30,144387.0,922.38,11504.0,790.2,132883.0,933.82
2014-08-31,142347.0,921.87,11283.0,787.58,131064.0,933.43
2014-07-31,144804.0,920.82,11533.0,784.9,133271.0,932.58
2014-06-30,143734.0,914.5,11450.0,778.69,132284.0,926.25
2014-05-31,144306.0,909.71,11522.0,774.81,132784.0,921.41
2014-04-30,142928.0,908.79,11369.0,772.0,131559.0,920.61
2014-03-31,141289.0,907.55,11154.0,770.73,130135.0,919.28
2014-02-28,139561.0,906.98,10935.0,769.06,128626.0,918.71
2014-01-31,137893.0,905.66,10824.0,770.45,127069.0,917.17
2013-12-31,149778.0,917.69,11931.0,787.66,137847.0,928.94
2013-11-30,151082.0,906.06,12001.0,777.58,139081.0,917.14
2013-10-31,149030.0,904.91,11750.0,775.26,137280.0,916.01
2013-09-30,149242.0,904.94,11818.0,774.85,137424.0,916.12
2013-08-31,147142.0,904.27,11606.0,773.43,135536.0,915.47
2013-07-31,149650.0,903.33,11877.0,770.68,137773.0,914.77
2013-06-30,148332.0,897.19,11771.0,764.91,136561.0,908.59
2013-05-31,148945.0,892.42,11814.0,760.74,137131.0,903.77
2013-04-30,147676.0,891.78,11684.0,759.65,135992.0,903.13
2013-03-31,146113.0,891.46,11516.0,757.77,134597.0,902.89
2013-02-28,144590.0,890.74,11328.0,757.27,133262.0,902.08
2013-01-31,142921.0,889.94,11188.0,757.47,131733.0,901.2
2012-12-31,153628.0,900.32,12253.0,771.33,141375.0,911.5
2012-11-30,154210.0,887.48,12228.0,759.84,141982.0,898.48
2012-10-31,154405.0,887.45,12223.0,758.21,142182.0,898.57
2012-09-30,153308.0,888.08,12035.0,756.91,141273.0,899.25
2012-08-31,151356.0,887.19,11801.0,755.37,139555.0,898.34
2012-07-31,153472.0,886.42,12061.0,755.04,141411.0,897.62
2012-06-30,152091.0,880.4,11985.0,750.98,140106.0,891.47
2012-05-31,152483.0,875.85,12001.0,748.45,140482.0,886.74
