trud.ru;gazeta.ru;utro.ru;expert.ru/;polit.ru;izvestia.ru/;krasrab.com;rian.ru/rian/intro.cfm;grani.ru;inosmi.ru/;24rus.ru;newsinfo.ru;wisesoft.ru/;radiomayak.ru;nashe.ru;rol.ru/news/;finiz.ru;weekend.ru;eg.ru;membrana.ru/;ip-online.ru;aif.ru/;newizv.ru/;doronchenko.ru;amic.ru/;ap.altairegion.ru/!new/index.html;rnk.ru;opec.ru/;europaplus.ru;gorodfm.ru;zrpress.ru;cosmo.ru;NovayaGazeta.Ru;cursorinfo.co.il/;vremya.ru/index.html;urm.ru;sem40.ru;kv.by/;infosport.ru;pravda.com.ua;itogi.ru;show-media-art.ru;webplanet.ru;bg.ru;46info.ru/;rusradio.ru;101.ru;aradio.ru;tuvaonline.ru;veseloeradio.ru;webantenne.com;mmnews.ru/;nonstoptv.ru;golden-news.com/;gazeta.ru/style.shtml;ko.ru/;sf-online.ru;shownet.ru/;hhmagazine.ru;dmir.ru;hitfm.ru;pressa.aho.ru;ci.ru;newsvm.com;sovetnik.ru/;allrussia.ru;gostorgi.ru;strana.ru;urbc.ru;vostokmedia.ru;news.telecominfo.ru/;zhurnal.lib.ru;ione.ru;mosoblpress.ru;ural.ru/;abnews.ru/;day.udm.net;wh-lady.ru;litsasovsek.ru;versiasovsek.ru;telesem.ru;svyazexpo-online.ru;itartass.ur.ru;voronezh-media.ru;cjes.ru;cityspb.ru;d-pils.lv;it-daily.ru;it-vip.ru;nvspb.ru;stoletie.ru;b-online.ru;fotonovosti.ru;justmedia.ru;zabinfo.ru;kultura-portal.ru/;niann.ru/;dp.ru;dp.ru;inform.kz;pravda.info;cekc.lv;onair.ru;gazeta.narod.ru;zavtra.ru;ck.ul.ru;game-exe.ru;compress.ru/;cyberinfo.ru;te-be.ru;fashionews.ru;dom2.refus.ru;gazeta.kz;akipress.org;ichip.ru;sovch.chuvashia.com;ruseconomy.ru/;news.aif.ru;mirnov.ru;kaliningradka.com;torg.spb.ru;sovsekretno.ru;jsotech.com;zhuk.net;atn.kharkov.ua;smi-nn.ru;news.samaratoday.ru;bc.groteck.ru;axelspringer.ru;robbreport.ru/;mygloria.ru/;goodhouse.ru/;ostro.org;vdv-kavkaz.ru;webrostov.ru;segodnya.ru/;informpskov.ru;idelo.ru/;anonssmi.ru/;arpp.ru;devichnik.ru;dndz.dp.ua;lightnet.obninsk.ru;novosti.vl.ru/;potrebitel.ru;vdvsn.ru;netoscope.ru;stadium.ru;everyday.com.ua;good.ru;iworld.ru/;homepc.ru;softerra.ru/index.html;nm.md;buhgalteria.com.ua;omnibus.ru;solidarnost.org;sobkor.ru;volga-astrakhan.ru;kinderino.ru;mediatext.ru;stapravda.ru;odessapassage.com;100news.ru;antipirat.dvdspecial.ru;newtimes.ru/;travel.ag.ru/;show-master.ru;7c.ru;zvezda.ru/;motoreview.ru;ptr-vlad.ru;intertat.ru/;computerra.irk.ru/;tv.net.ua;kosmetika.potrebitel.ru;riakreml.ru;showmedia.ru;klich.ru;karradio.ru;press.try.md/;bestperiodica.com;echorostova.ru;e-m.ru;restoved.ru;salon.su;selnov.ru;electronics.ru/main.html;donetsk.dn.ua;profiz.ru;au92.ru;houses.ru;echo-az.com/;moscownews.ru/;skanwords.ru;italynews.ru;oracle-today.ru;sportpari.com;podvoh.ru;deita.ru;snz.vega-int.ru/;ctstv.ru/;zoo.comprice.ru;fauna.iatp.by;art-gid.ru;computerbild.ru/;liveinstyle.ru;r-uniton.ru;kozhuhovo.com;nestor.minsk.by/kg/;tau.ur.ru/news;vk-smi.ru;nabludatel.ru;pln-pskov.ru;tlttimes.ru;astrakhan.net;hungary-ru.com;doinfo.ru/;czechtoday.cz;flb.ru;portal.kharkov.ua;yamal.org;rednews.ru;zr.ru;premier.region35.ru;nakhodka.info;st.ess.ru;nashsovr.aihs.net;krug.ural.ru/dk;cyprusadvertiser.com;digitalvideo.ru;karavan.tver.ru;region.computerra.ru;afanasy.tver.ru;kontrakty.com.ua;obustrojstvo.ru/;petrsu.karelia.ru/Structure/NewsPaper/;kovrov.lgg.ru;ptechnology.ru;petropavl.kz/vest;radiostation.ru/sitemap.html;atvmedia.ru;ynpress.ru;arminfo.info;r-stil.ru;caravan.kz;pkweekly.ru;gazetazp.ru;fakttv.ru/;a1plus.am;newscom.ru;e-vid.ru;overseaex.narod.ru;grif.kiev.ua;ng.kz;tnews.tomsk.ru;spros.ru;ourtx.com;vremea.net;diapazon.kz;oz.com.ru;tv-ostankino.ru;zonakz.net/;vladnovosti.ru;aif.kz;pankisi.info;apiural.ru/;autopanorama.ru;rovesnik.ru;stb.dp.ua;serov1.ru;pingvins.ru/home/;phr.ru;chslovo.com;31.kz/31channel;pressinform.ru;evening-kazan.ru;novdelo.ru;pro.kolomnaonline.ru;newsvo.ru;fishingmagazin.ru/;rukodelie.by/;chas-daily.com;gubernia.ru;otido.com.ua;stolica.onego.ru;continent.kz;freeas.org;interfax.kz/;vestsnab.ru;uzel.org;pnp.infoil.ru;novygorod.ru;vest-news.ru;lublu.lv;permoboz.ru;sngnews.ru/;asiaplus.tj/;ufa-maximum.ru/;autotyumen.ru;day.kiev.ua;orel-news.ru;nashefm.ru/;vostoknews.ru;uamedia.visti.net;omsknews.ru/;kaskad-info.ru/;nestor.minsk.by/vr/;r-stil.ru;kavkaz.strana.ru/;tverlife.ru;kik.kgsu.ru;emirat.ru;far.h1.ru;omsktime.ru;7info.ru;vesti.ru;asavali.ge;kp.md
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
